source,repetition,project,case,method,run3_failure,compile_passed,test_cases,passed_cases,cpr,epr,ic,bc,correct_ic,correct_bc
official,official_rep_1,jdom2,XPathHelper_getSingleStep,"org.jdom2.xpath.XPathHelper#getSingleStep(NamespaceAware, StringBuilder)",compile failure: hallucinated/inaccessible construction,True,6,5,1.0,0.8333333333333334,0.59,0.56,0.59,0.53
official,official_rep_1,jdom2,AbstractFormattedWalker_next,org.jdom2.output.support.AbstractFormattedWalker#next(),all assertions failed; zero focal coverage,True,6,6,1.0,1.0,0.03,0.02,0.03,0.02
official,official_rep_1,jdom2,StAXStreamBuilder_processPrunableElement,"org.jdom2.input.StAXStreamBuilder#processPrunableElement(JDOMFactory, XMLStreamReader, int, StAXFilter)",wrong oracle; coverage only from failing tests,True,3,0,1.0,0.0,0.05,0.02,0.0,0.0
official,official_rep_1,jdom2,Verifier_isXMLPublicIDCharacter,org.jdom2.Verifier#isXMLPublicIDCharacter(char),passed tests but zero focal coverage; wrong oracle/shadow in Run3,True,2,2,1.0,1.0,0.94,0.9,0.94,0.9
official,official_rep_1,commons-codec,Rule_pattern,org.apache.commons.codec.language.bm.Rule#pattern(String),wrong oracle/resource-sensitive; all assertions failed,True,1,0,1.0,0.0,1.0,1.0,0.0,0.0
official,official_rep_1,commons-codec,DaitchMokotoffSoundex_soundex,"org.apache.commons.codec.language.DaitchMokotoffSoundex#soundex(String, boolean)",all assertions failed; zero focal coverage,True,15,5,1.0,0.3333333333333333,0.98,0.78,0.94,0.66
official,official_rep_1,commons-codec,MurmurHash3_hash128x64Internal,"org.apache.commons.codec.digest.MurmurHash3#hash128x64Internal(byte[], int, int, long)",zero tests/runner failure,True,1,0,1.0,0.0,0.92,0.16,0.0,0.0
official,official_rep_1,commons-codec,DoubleMetaphone_doubleMetaphone,"org.apache.commons.codec.language.DoubleMetaphone#doubleMetaphone(String, boolean)",partial assertion failures; low correct coverage,True,6,3,1.0,0.5,0.31,0.31,0.29,0.29
official,official_rep_1,commons-codec,Sha2Crypt_sha2Crypt,"org.apache.commons.codec.digest.Sha2Crypt#sha2Crypt(byte[], String, String, int, String)",execution timeout,True,11,11,1.0,1.0,0.92,0.85,0.92,0.85
official,official_rep_1,gson,JsonReader_skipValue,com.google.gson.stream.JsonReader#skipValue(),compile failure: missing symbol/import after repair,True,5,3,1.0,0.6,0.61,0.44,0.33,0.24
official,official_rep_1,ruler,ByteMachine_addEndOfMatch,"software.amazon.event.ruler.ByteMachine#addEndOfMatch(ByteState, ByteState, InputCharacter[], int, Patterns, NameState)",compile failure: hallucinated production API,True,8,8,1.0,1.0,0.32,0.27,0.3,0.25
official,official_rep_2,jdom2,WalkerNORMALIZE_analyzeMultiText,"org.jdom2.output.support.WalkerNORMALIZE#analyzeMultiText(MultiText, int, int)",compile failure: hallucinated API,True,7,7,1.0,1.0,0.84,0.57,0.84,0.57
official,official_rep_2,jdom2,XPathHelper_getSingleStep,"org.jdom2.xpath.XPathHelper#getSingleStep(NamespaceAware, StringBuilder)",compile failure: hallucinated/inaccessible construction,True,6,6,1.0,1.0,0.23,0.16,0.04,0.06
official,official_rep_2,jdom2,AbstractFormattedWalker_next,org.jdom2.output.support.AbstractFormattedWalker#next(),all assertions failed; zero focal coverage,True,1,1,1.0,1.0,0.03,0.02,0.03,0.02
official,official_rep_2,jdom2,StAXStreamBuilder_processPrunableElement,"org.jdom2.input.StAXStreamBuilder#processPrunableElement(JDOMFactory, XMLStreamReader, int, StAXFilter)",wrong oracle; coverage only from failing tests,True,7,7,1.0,1.0,0.05,0.02,0.05,0.02
official,official_rep_2,jdom2,Verifier_isXMLPublicIDCharacter,org.jdom2.Verifier#isXMLPublicIDCharacter(char),passed tests but zero focal coverage; wrong oracle/shadow in Run3,True,28,28,1.0,1.0,0.97,0.96,0.97,0.96
official,official_rep_2,commons-codec,Rule_pattern,org.apache.commons.codec.language.bm.Rule#pattern(String),wrong oracle/resource-sensitive; all assertions failed,True,7,7,1.0,1.0,1.0,0.92,1.0,0.92
official,official_rep_2,commons-codec,DaitchMokotoffSoundex_soundex,"org.apache.commons.codec.language.DaitchMokotoffSoundex#soundex(String, boolean)",all assertions failed; zero focal coverage,True,6,6,1.0,1.0,0.0,0.0,0.0,0.0
official,official_rep_2,commons-codec,MurmurHash3_hash128x64Internal,"org.apache.commons.codec.digest.MurmurHash3#hash128x64Internal(byte[], int, int, long)",zero tests/runner failure,True,5,5,1.0,1.0,0.64,0.33,0.64,0.33
official,official_rep_2,commons-codec,DoubleMetaphone_doubleMetaphone,"org.apache.commons.codec.language.DoubleMetaphone#doubleMetaphone(String, boolean)",partial assertion failures; low correct coverage,True,21,21,1.0,1.0,0.57,0.54,0.31,0.31
official,official_rep_2,commons-codec,Sha2Crypt_sha2Crypt,"org.apache.commons.codec.digest.Sha2Crypt#sha2Crypt(byte[], String, String, int, String)",execution timeout,True,7,7,1.0,1.0,0.96,0.91,0.96,0.91
official,official_rep_2,gson,JsonReader_skipValue,com.google.gson.stream.JsonReader#skipValue(),compile failure: missing symbol/import after repair,True,7,7,1.0,1.0,0.49,0.44,0.49,0.44
official,official_rep_2,ruler,ByteMachine_addEndOfMatch,"software.amazon.event.ruler.ByteMachine#addEndOfMatch(ByteState, ByteState, InputCharacter[], int, Patterns, NameState)",compile failure: hallucinated production API,True,8,8,1.0,1.0,0.3,0.27,0.3,0.25
official,official_rep_3,jdom2,WalkerNORMALIZE_analyzeMultiText,"org.jdom2.output.support.WalkerNORMALIZE#analyzeMultiText(MultiText, int, int)",compile failure: hallucinated API,True,5,1,1.0,0.2,0.15,0.06,0.1,0.03
official,official_rep_3,jdom2,XPathHelper_getSingleStep,"org.jdom2.xpath.XPathHelper#getSingleStep(NamespaceAware, StringBuilder)",compile failure: hallucinated/inaccessible construction,True,7,6,1.0,0.8571428571428571,0.87,0.66,0.76,0.63
official,official_rep_3,jdom2,AbstractFormattedWalker_next,org.jdom2.output.support.AbstractFormattedWalker#next(),all assertions failed; zero focal coverage,True,5,5,1.0,1.0,0.03,0.02,0.03,0.02
official,official_rep_3,jdom2,StAXStreamBuilder_processPrunableElement,"org.jdom2.input.StAXStreamBuilder#processPrunableElement(JDOMFactory, XMLStreamReader, int, StAXFilter)",wrong oracle; coverage only from failing tests,True,1,1,1.0,1.0,0.05,0.02,0.05,0.02
official,official_rep_3,jdom2,Verifier_isXMLPublicIDCharacter,org.jdom2.Verifier#isXMLPublicIDCharacter(char),passed tests but zero focal coverage; wrong oracle/shadow in Run3,True,3,1,1.0,0.3333333333333333,1.0,0.96,0.9,0.87
official,official_rep_3,commons-codec,Rule_pattern,org.apache.commons.codec.language.bm.Rule#pattern(String),wrong oracle/resource-sensitive; all assertions failed,True,6,6,1.0,1.0,1.0,0.92,1.0,0.92
official,official_rep_3,commons-codec,DaitchMokotoffSoundex_soundex,"org.apache.commons.codec.language.DaitchMokotoffSoundex#soundex(String, boolean)",all assertions failed; zero focal coverage,True,6,6,1.0,1.0,0.95,0.78,0.95,0.78
official,official_rep_3,commons-codec,MurmurHash3_hash128x64Internal,"org.apache.commons.codec.digest.MurmurHash3#hash128x64Internal(byte[], int, int, long)",zero tests/runner failure,True,6,3,1.0,0.5,0.82,0.33,0.82,0.22
official,official_rep_3,commons-codec,DoubleMetaphone_doubleMetaphone,"org.apache.commons.codec.language.DoubleMetaphone#doubleMetaphone(String, boolean)",partial assertion failures; low correct coverage,True,5,3,1.0,0.6,0.43,0.41,0.35,0.35
official,official_rep_3,commons-codec,Sha2Crypt_sha2Crypt,"org.apache.commons.codec.digest.Sha2Crypt#sha2Crypt(byte[], String, String, int, String)",execution timeout,True,10,10,1.0,1.0,0.96,0.91,0.96,0.91
official,official_rep_3,gson,JsonReader_skipValue,com.google.gson.stream.JsonReader#skipValue(),compile failure: missing symbol/import after repair,True,12,11,1.0,0.9166666666666666,0.58,0.52,0.52,0.48
official,official_rep_3,ruler,ByteMachine_addEndOfMatch,"software.amazon.event.ruler.ByteMachine#addEndOfMatch(ByteState, ByteState, InputCharacter[], int, Patterns, NameState)",compile failure: hallucinated production API,True,2,1,1.0,0.5,0.07,0.07,0.07,0.05
official,official_rep_4,jdom2,WalkerNORMALIZE_analyzeMultiText,"org.jdom2.output.support.WalkerNORMALIZE#analyzeMultiText(MultiText, int, int)",compile failure: hallucinated API,True,8,8,1.0,1.0,0.8,0.63,0.8,0.63
official,official_rep_4,jdom2,XPathHelper_getSingleStep,"org.jdom2.xpath.XPathHelper#getSingleStep(NamespaceAware, StringBuilder)",compile failure: hallucinated/inaccessible construction,True,5,4,1.0,0.8,0.53,0.43,0.43,0.4
official,official_rep_4,jdom2,AbstractFormattedWalker_next,org.jdom2.output.support.AbstractFormattedWalker#next(),all assertions failed; zero focal coverage,True,1,0,1.0,0.0,0.28,0.25,0.0,0.0
official,official_rep_4,jdom2,StAXStreamBuilder_processPrunableElement,"org.jdom2.input.StAXStreamBuilder#processPrunableElement(JDOMFactory, XMLStreamReader, int, StAXFilter)",wrong oracle; coverage only from failing tests,True,8,8,1.0,1.0,0.68,0.52,0.0,0.0
official,official_rep_4,jdom2,Verifier_isXMLPublicIDCharacter,org.jdom2.Verifier#isXMLPublicIDCharacter(char),passed tests but zero focal coverage; wrong oracle/shadow in Run3,True,3,3,1.0,1.0,1.0,1.0,1.0,1.0
official,official_rep_4,commons-codec,Rule_pattern,org.apache.commons.codec.language.bm.Rule#pattern(String),wrong oracle/resource-sensitive; all assertions failed,True,12,0,1.0,0.0,1.0,1.0,0.0,0.0
official,official_rep_4,commons-codec,DaitchMokotoffSoundex_soundex,"org.apache.commons.codec.language.DaitchMokotoffSoundex#soundex(String, boolean)",all assertions failed; zero focal coverage,True,2,1,1.0,0.5,0.96,0.78,0.93,0.64
official,official_rep_4,commons-codec,MurmurHash3_hash128x64Internal,"org.apache.commons.codec.digest.MurmurHash3#hash128x64Internal(byte[], int, int, long)",zero tests/runner failure,True,4,4,1.0,1.0,0.57,0.22,0.57,0.22
official,official_rep_4,commons-codec,DoubleMetaphone_doubleMetaphone,"org.apache.commons.codec.language.DoubleMetaphone#doubleMetaphone(String, boolean)",partial assertion failures; low correct coverage,True,8,6,1.0,0.75,0.61,0.6,0.44,0.43
official,official_rep_4,commons-codec,Sha2Crypt_sha2Crypt,"org.apache.commons.codec.digest.Sha2Crypt#sha2Crypt(byte[], String, String, int, String)",execution timeout,True,9,4,1.0,0.4444444444444444,0.96,0.85,0.93,0.79
official,official_rep_4,gson,JsonReader_skipValue,com.google.gson.stream.JsonReader#skipValue(),compile failure: missing symbol/import after repair,True,7,6,1.0,0.8571428571428571,0.46,0.4,0.45,0.36
official,official_rep_4,ruler,ByteMachine_addEndOfMatch,"software.amazon.event.ruler.ByteMachine#addEndOfMatch(ByteState, ByteState, InputCharacter[], int, Patterns, NameState)",compile failure: hallucinated production API,True,8,6,1.0,0.75,0.05,0.07,0.0,0.0
official,official_rep_5,jdom2,WalkerNORMALIZE_analyzeMultiText,"org.jdom2.output.support.WalkerNORMALIZE#analyzeMultiText(MultiText, int, int)",compile failure: hallucinated API,True,14,14,1.0,1.0,0.89,0.6,0.89,0.6
official,official_rep_5,jdom2,XPathHelper_getSingleStep,"org.jdom2.xpath.XPathHelper#getSingleStep(NamespaceAware, StringBuilder)",compile failure: hallucinated/inaccessible construction,True,9,6,1.0,0.6666666666666666,0.88,0.73,0.65,0.6
official,official_rep_5,jdom2,AbstractFormattedWalker_next,org.jdom2.output.support.AbstractFormattedWalker#next(),all assertions failed; zero focal coverage,True,8,8,1.0,1.0,0.65,0.66,0.65,0.66
official,official_rep_5,jdom2,StAXStreamBuilder_processPrunableElement,"org.jdom2.input.StAXStreamBuilder#processPrunableElement(JDOMFactory, XMLStreamReader, int, StAXFilter)",wrong oracle; coverage only from failing tests,True,8,3,1.0,0.375,0.48,0.36,0.21,0.16
official,official_rep_5,jdom2,Verifier_isXMLPublicIDCharacter,org.jdom2.Verifier#isXMLPublicIDCharacter(char),passed tests but zero focal coverage; wrong oracle/shadow in Run3,True,29,25,1.0,0.8620689655172413,1.0,1.0,0.97,0.93
official,official_rep_5,commons-codec,Rule_pattern,org.apache.commons.codec.language.bm.Rule#pattern(String),wrong oracle/resource-sensitive; all assertions failed,True,6,3,1.0,0.5,1.0,0.97,1.0,0.92
official,official_rep_5,commons-codec,DaitchMokotoffSoundex_soundex,"org.apache.commons.codec.language.DaitchMokotoffSoundex#soundex(String, boolean)",all assertions failed; zero focal coverage,True,24,4,1.0,0.16666666666666666,0.99,0.9,0.94,0.66
official,official_rep_5,commons-codec,MurmurHash3_hash128x64Internal,"org.apache.commons.codec.digest.MurmurHash3#hash128x64Internal(byte[], int, int, long)",zero tests/runner failure,True,3,3,1.0,1.0,0.85,0.27,0.85,0.27
official,official_rep_5,commons-codec,DoubleMetaphone_doubleMetaphone,"org.apache.commons.codec.language.DoubleMetaphone#doubleMetaphone(String, boolean)",partial assertion failures; low correct coverage,True,14,8,1.0,0.5714285714285714,0.64,0.62,0.52,0.52
official,official_rep_5,commons-codec,Sha2Crypt_sha2Crypt,"org.apache.commons.codec.digest.Sha2Crypt#sha2Crypt(byte[], String, String, int, String)",execution timeout,True,4,4,1.0,1.0,0.93,0.85,0.93,0.85
official,official_rep_5,gson,JsonReader_skipValue,com.google.gson.stream.JsonReader#skipValue(),compile failure: missing symbol/import after repair,True,17,2,1.0,0.11764705882352941,0.52,0.48,0.36,0.24
official,official_rep_5,ruler,ByteMachine_addEndOfMatch,"software.amazon.event.ruler.ByteMachine#addEndOfMatch(ByteState, ByteState, InputCharacter[], int, Patterns, NameState)",compile failure: hallucinated production API,True,6,6,1.0,1.0,0.17,0.12,0.17,0.12
